X,Y,FID,village,settlement,facility_type,facility_name,managing_organization,donor,altitude
36.78827333,-1.312373333,1144,Kambi muru,Kibera,Education Facility,Watumoja Lee,Individual (eg business owner),N/A,1733.6
36.783685,-1.31164,1145,Karanja estate,Kibera,Education Facility,Wee care daycare,Individual (eg business owner),N/A,1758.5
36.77613709,-1.3109481,1146,Ayany estate,Kibera,Education Facility,Westhill kids centre,Individual (eg business owner),NaN,1763
36.78685644,-1.31175161,1147,Kambi muru,Kibera,Religious facility,White Garment Church,Missing Values,NaN,1757
36.77645646,-1.314079743,1148,Kianda,Kibera,Education Facility,Wilson childcare centre,Individual (eg business owner),Individual,1714
36.795985,-1.31724,1149,Silanga,Kibera,Education Facility,Wings of life,Community group,NaN,1720.4
36.78507376,-1.31159408,1150,Karanja estate,Kibera,Education Facility,Wisdom Ashrays Center,Individual (eg business owner),NaN,1739
36.77298333,-1.310141667,1151,Kianda,Kibera,Religious facility,Word Bible Church,Missing Values,NaN,1772
36.78353167,-1.316303333,1152,Gatwekera,Kibera,Religious facility,Working Faith Fellowship,Missing Values,NaN,1678.6
36.77601333,-1.314381667,1153,soweto west,Kibera,Religious facility,World Reconciliation Ministries,Missing Values,NaN,1734.4
36.78807312,-1.311581811,1154,Lindi,Kibera,Other,Yettohsan,Individual (eg business owner),NaN,1723.443806
36.78057508,-1.315572895,1155,Gatwekera,Kibera,Health facility,Young Health Programme Kenya United,Community group,Plan International,1728
36.78281,-1.313791667,1156,Gatwekera,Kibera,Religious facility,Youngsters For Christ Team,Missing Values,NaN,1766.8
36.78735667,-1.311136667,1157,Kambi muru,Kibera,Social hall / community centre / resource centre,Youth Reform Self Help Group,Community group,N/A,1750.5
36.7985,-1.31716,1158,Silanga,Kibera,Education Facility,Zelyn Academy,Individual (eg business owner),NaN,1729.5
36.78781,-1.305995,1159,D.C village,Kibera,Hand washing facility,NaN,County government,Government,1751.3
36.78687333,-1.311848333,1160,Kambi muru,Kibera,Hand washing facility,NaN,Community group,Shofco,1750.8
36.785955,-1.313655,1161,Kambi muru,Kibera,Hand washing facility,NaN,NGO,UNICEF,1729.4
36.7967136,-1.3151829,1162,Laini saba,Kibera,Waste collection bin / open dumping area,NaN,Facility_Management,NaN,1669
36.77672,-1.314133333,1163,Olympic estate,Kibera,Waste collection bin / open dumping area,NaN,No one,NA,1751.4
36.78341167,-1.306601667,1164,D.C village,Kibera,Waste collection bin / open dumping area,NaN,Community group,NaN,1753.6
36.77661833,-1.312228333,1165,Olympic estate,Kibera,Waste collection bin / open dumping area,NaN,No one,NA,1766.4
36.783275,-1.306541667,1166,Makina,Kibera,Waste collection bin / open dumping area,NaN,Community group,N/A,1750.8
36.78651667,-1.311893333,1167,Karanja estate,Kibera,Waste collection bin / open dumping area,NaN,County government,N/A,1768.6
36.78785167,-1.31093,1168,Makongeni,Kibera,Waste collection bin / open dumping area,NaN,Community group,Gogo,1744.4
36.78764456,-1.30924825,1169,Makongeni,Kibera,Waste collection bin / open dumping area,NaN,Community group,NaN,1725
36.788665,-1.309255,1170,Makongeni,Kibera,Waste collection bin / open dumping area,NaN,Community group,N/A,1764.1
36.78858833,-1.30833,1171,Makongeni,Kibera,Waste collection bin / open dumping area,NaN,Community group,N/A,1699.2
36.78911167,-1.308263333,1172,Makongeni,Kibera,Waste collection bin / open dumping area,NaN,Community group,N/A,1738.7
36.78829167,-1.311298333,1173,Kambi muru,Kibera,Waste collection bin / open dumping area,NaN,Community group,N/A,1937.9
36.789085,-1.309043333,1174,Makongeni,Kibera,Waste collection bin / open dumping area,NaN,No one,NaN,1746.9
36.78761333,-1.313483333,1175,Kambi muru,Kibera,Waste collection bin / open dumping area,NaN,No one,NaN,1762.7
36.78748167,-1.314186667,1176,Kambi muru,Kibera,Waste collection bin / open dumping area,NaN,No one,NaN,1722
36.78872167,-1.308555,1177,Makongeni,Kibera,Waste collection bin / open dumping area,NaN,No one,N/A,1726.8
36.78646167,-1.311666667,1178,Kambi muru,Kibera,Waste collection bin / open dumping area,NaN,No one,NaN,1779.6
36.78761667,-1.314323333,1179,Kambi muru,Kibera,Waste collection bin / open dumping area,NaN,No one,NaN,1711
36.78678833,-1.312938333,1180,Kambi muru,Kibera,Waste collection bin / open dumping area,NaN,Community group,NaN,1767.1
